ID1,ID2,EdgeType,Score,Annotation
3633,3780,MS1 annotation,4,[M+NH4]+ [M+K]+ dm/z=20.92928
3633,3706,MS1 annotation,4,[M+Na]+ [M+K]+ dm/z=15.97398
3637,3780,MS1 annotation,4,[M+NH4]+ [M+H]+ dm/z=17.02652
3665,3666,MS1 annotation,3,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99274
3665,3667,MS1 annotation,3,[2M+2H]+2 [M+Na]+ dm/z=21.98211
3669,3688,MS1 annotation,4,[M+Na]+ [M-H2O+H]+ dm/z=39.99261
3669,3827,MS1 annotation,4,[M+Na]+ [M-H2O+H]+ dm/z=39.99263
3669,3688,MS1 annotation,4,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.99261
3669,3827,MS1 annotation,4,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.99263
3674,3685,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.0266
3688,3814,MS1 annotation,4,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99257
3693,3733,MS1 annotation,3,[M+NH4]+ [M-H2O+H]+ dm/z=35.03718
3693,3733,MS1 annotation,3,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.03718
3706,3780,MS1 annotation,4,[M+NH4]+ [M+Na]+ dm/z=4.9553
3733,3751,MS1 annotation,3,[M+Na]+ [M+NH4]+ dm/z=4.95546
3754,3763,MS1 annotation,5,[M-2H2O+H]+ [2M+NH4]+ dm/z=445.34154
3758,3791,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95524
3761,3764,MS1 annotation,5,[M+NH4]+ [2M+Na]+ dm/z=397.24904
3762,3764,MS1 annotation,5,[M+NH4]+ [2M+H]+ dm/z=375.26713
3763,3764,MS1 annotation,5,[M+NH4]+ [M-2H2O+H]+ dm/z=53.04778
3813,3822,MS1 annotation,2,[M+Na]+ [M-H2O+2H]+2 dm/z=188.04552
3814,3827,MS1 annotation,4,[M+Na]+ [M-H2O+H]+ dm/z=39.9926
3814,3827,MS1 annotation,4,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.9926
3848,3851,MS1 annotation,3,[M+NH4]+ [M+H]+ dm/z=17.02658
3848,3851,MS1 annotation,3,[M+NH4]+ [2M+2H]+2 dm/z=17.02658
3850,3851,MS1 annotation,3,[M+NH4]+ [M-H2O+H]+ dm/z=35.03716
3850,3851,MS1 annotation,3,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.03716
3865,3876,MS1 annotation,2,[M-H2O+NH4]+ [M+H]+ dm/z=0.98413
3865,3876,MS1 annotation,2,[M-H2O+NH4]+ [2M+2H]+2 dm/z=0.98413
3874,3876,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02665
3874,3876,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02665
3884,3898,MS1 annotation,2,[M+Na]+ [M-H2O+H]+ dm/z=39.99264
3884,3898,MS1 annotation,2,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.99264
3902,3911,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95549
3953,3954,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98197
4021,4022,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95553
4058,4064,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98209
4058,4064,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98209
4073,4209,MS1 annotation,3,[M+Na]+ [M-H2O+H]+ dm/z=39.99281
